id,name,parent_id,image,resource_id
158,Wart Snake,120,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
159,Forest Snake,120,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
160,Whip Snake,120,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
161,Slug Snake,120,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
162,Egg-eating Snake,120,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
163,Black Earth Snake,120,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
164,Boa,120,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
165,Sea Krait,120,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
166,Longnose Sand Snake,120,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
167,Horned Viper,120,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
168,Earth Snake,120,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
169,Saw-scaled Viper,120,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
170,Rat Snake,120,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
171,Pit Viper,120,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
172,Thorntail,120,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
173,Sunbeam Snake,120,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
174,Red-Tailed Rat Snake,120,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
175,Plants,0,images/placeholder.svg,
176,Bats,0,images/placeholder.svg,
177,fruit_eating,176,images/placeholder.svg,
178,Wide-toothed Bat,177,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
179,Tailless Fruit Bat,177,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
180,Rosy Bat,177,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
181,Dawn Bat,177,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
182,Round-nosed Bat,177,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
183,Short-nosed Fruit Bat,177,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
184,Flying Fox,177,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
185,Long-nosed Fruit Bat,177,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
186,insect_eating,176,images/placeholder.svg,
187,Long-fingered Bat,186,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
188,Tomb Bat,186,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
189,Yellow Bat,186,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
190,Woolly Bat,186,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
191,Yellow House Bat,186,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
192,Parti-coloured Bat,186,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
193,Horseshoe Bat,186,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
194,Mouse-tailed Bat,186,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
195,Hairy-winged Bat,186,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
